Table 5.1. Saving and Investment by Sector
Table 5.1. Saving and Investment by Sector
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross saving",4643.7,4705.6,4914.3,4788.9,4661.8,4755.1,4804.8,5021.6,5103.2,5102.6,4902.9,5105.7
2,Net saving,488.7,426.9,535.0,348.3,151.2,196.2,191.7,353.2,389.1,321.6,49.0,189.6
3,"    Net private saving",1221.7,1181.8,1542.8,1580.5,1833.7,1925.5,1961.7,2083.3,2189.0,2206.7,2034.7,2121.2
4,"        Domestic business",617.6,780.8,950.0,913.9,883.1,892.4,1018.8,1141.0,1040.9,1145.5,1145.7,1318.4
5,"            Undistributed corporate profits",949.6,1136.9,1089.7,938.6,1017.5,1046.1,1180.7,1278.9,1319.2,1417.0,1420.2,1637.7
6,"            Inventory valuation adjustment, corporate",-283.0,-286.9,-55.8,61.2,42.6,24.8,11.5,40.4,-17.1,-3.9,-0.5,-40.9
7,"            Capital consumption adjustment, corporate",-49.0,-69.2,-83.9,-86.0,-177.0,-178.4,-173.4,-178.2,-261.1,-267.6,-274.0,-278.5
8,"        Households and institutions",604.1,401.0,592.7,666.6,950.7,1033.1,942.9,942.2,1148.1,1061.1,889.0,802.8
9,"            Personal saving",604.1,401.0,592.7,666.6,950.7,1033.1,942.9,942.2,1148.1,1061.1,889.0,802.8
10,"    Net government saving",-733.0,-754.9,-1007.8,-1232.2,-1682.5,-1729.3,-1770.0,-1730.1,-1799.9,-1885.1,-1985.7,-1931.6
11,"        Federal",-897.4,-907.9,-1052.5,-1223.3,-1637.5,-1659.5,-1677.2,-1691.4,-1746.1,-1791.6,-1928.9,-1885.7
12,"        State and local",164.4,153.0,44.8,-8.9,-45.0,-69.8,-92.8,-38.7,-53.8,-93.5,-56.7,-45.9
13,Consumption of fixed capital,4155.0,4278.7,4379.3,4440.6,4510.6,4558.9,4613.0,4668.5,4714.1,4781.0,4853.9,4916.0
14,"    Private",3448.3,3550.5,3634.9,3685.3,3744.0,3786.3,3832.7,3880.6,3918.0,3976.9,4038.8,4091.2
15,"        Domestic business",2659.9,2736.7,2802.2,2845.7,2905.6,2943.3,2975.6,3016.4,3051.9,3100.5,3150.8,3197.2
16,"        Households and institutions",788.4,813.7,832.7,839.6,838.4,843.0,857.0,864.2,866.1,876.5,888.0,894.0
17,"    Government",706.6,728.2,744.4,755.2,766.5,772.6,780.4,787.9,796.1,804.1,815.1,824.8
18,"        Federal",347.1,355.6,362.2,366.6,371.5,375.6,380.6,385.1,389.4,394.8,400.6,406.8
19,"        State and local",359.5,372.6,382.1,388.7,395.0,397.1,399.7,402.8,406.7,409.3,414.5,418.1
20,"        Gross domestic investment, capital account transactions, and net lending, NIPAs",4503.9,4598.7,4731.6,4915.8,4861.7,4979.6,5144.6,5235.9,5228.0,5297.4,5222.4,5285.2
21,Gross domestic investment,5643.5,5664.1,5691.4,5834.8,5791.0,5897.3,6060.9,6136.2,6200.8,6358.7,6432.5,6391.6
22,"    Gross private domestic investment",4784.8,4786.5,4801.6,4911.9,4847.2,4925.7,5063.4,5102.8,5159.9,5297.8,5345.2,5288.8
23,"        Domestic business",3511.2,3512.0,3580.7,3739.7,3674.8,3751.6,3866.3,3891.4,3899.5,4043.8,4089.7,4006.0
24,"        Households and institutions",1273.7,1274.5,1220.9,1172.2,1172.4,1174.1,1197.0,1211.4,1260.4,1254.1,1255.5,1282.7
25,"    Gross government investment",858.7,877.6,889.8,922.9,943.7,971.6,997.5,1033.4,1040.9,1060.9,1087.4,1102.9
26,"        Federal",394.3,405.6,405.4,427.3,434.1,442.2,444.4,449.2,442.8,455.8,470.8,477.8
27,"        State and local",464.4,472.0,484.3,495.6,509.7,529.4,553.2,584.3,598.0,605.1,616.6,625.1
28,Capital account transactions (net)1,5.9,10.8,-24.6,11.4,10.6,4.8,4.5,7.5,8.0,6.6,7.3,-39.1
29,"    Private",339.8,107.7,35.4,65.4,-128.1,-262.7,-215.4,-40.2,-34.9,-40.7,-56.7,-86.4
30,"        Domestic business",322.3,89.1,122.5,55.2,-146.4,-18.7,-22.6,-2.8,21.6,-1.5,9.5,-2.0
31,"        Households and institutions",17.6,18.6,-87.2,10.2,18.3,-244.0,-192.8,-37.4,-56.5,-39.2,-66.1,-84.5
32,"    Government",-333.9,-96.9,-60.0,-54.0,138.6,267.5,219.9,47.7,42.8,47.3,64.0,47.3
33,"        Federal",-266.1,427.4,79.2,74.2,212.4,349.0,304.8,130.3,127.2,134.0,155.7,222.8
34,"        State and local",-67.8,-524.3,-139.3,-128.2,-73.8,-81.5,-84.8,-82.6,-84.4,-86.6,-91.7,-175.5
35,"Net lending or net borrowing (-), NIPAs",-1145.5,-1076.2,-935.2,-930.4,-939.8,-922.4,-920.8,-907.8,-980.7,-1067.9,-1217.4,-1067.3
36,"    Private",-594.3,-268.8,158.0,415.4,1058.5,1273.4,1286.2,1115.6,1106.8,1121.3,1104.5,1189.6
37,"        Domestic business",-695.6,-190.4,-133.6,91.6,460.1,327.4,490.5,483.2,296.5,398.5,516.9,691.1
38,"        Households and institutions",101.2,-78.4,291.7,323.8,598.4,946.0,795.7,632.4,810.3,722.8,587.6,498.5
