Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,        Current receipts from the rest of the world,4158.6,4451.6,4547.5,4566.7,4602.3,4587.8,4714.6,4761.3,4823.3,4859.5,4864.5,4942
2,Exports of goods and services,2848.7,3071.6,3102.6,3046.7,3060.6,2995.5,3062,3091.7,3125.4,3154.3,3220.3,3220.9
3,    Goods1,1949.3,2121.5,2140.5,2049.1,2059.6,1968.1,2025.7,2034.3,2037,2053.4,2088.3,2058
4,        Durable,1027.7,1062.6,1086.7,1091.7,1108.5,1099.5,1126.8,1114.3,1116.8,1141.5,1174.6,1139.4
5,        Nondurable,921.6,1058.9,1053.8,957.4,951.2,868.6,898.9,920,920.1,911.9,913.7,918.6
6,    Services1,899.4,950.1,962,997.6,1001,1027.4,1036.3,1057.4,1088.4,1100.9,1132,1162.9
7,Income receipts,1127,1194.2,1257.5,1298.1,1347.1,1388.5,1455.7,1454.2,1493,1504,1442,1516.2
8,    Wage and salary receipts,7.3,7.4,7.4,7.5,7.6,7.7,7.8,7.8,7.8,7.9,7.9,7.9
9,    Income receipts on assets,1119.7,1186.8,1250,1290.6,1339.4,1380.8,1447.9,1446.4,1485.2,1496.1,1434.2,1508.3
10,        Interest,216.1,242.7,301.1,353.3,395.9,431.4,456.8,463.1,476.2,482.7,482.3,459.2
11,        Dividends,623.4,667.6,673.8,656.6,689.8,647.6,605.7,520.4,663.1,777,666,600.3
12,        Reinvested earnings on U.S. direct investment abroad,280.1,276.5,275.2,280.7,253.7,301.9,385.4,462.9,345.9,236.4,285.9,448.7
13,"Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world2",183,185.8,187.4,221.9,194.7,203.7,196.9,215.3,204.8,201.2,202.1,204.9
14,    To persons,8.6,7.3,7.6,6.5,7.7,8.1,7.1,6.7,7.4,7.3,7.5,7.3
15,    To business,130.8,131.9,135.4,138.1,143.4,148.3,147.1,148.6,149.2,151,151.8,152.9
16,    To government,43.6,46.6,44.5,77.4,43.5,47.4,42.6,60.1,48.3,42.9,42.9,44.7
17,        Current payments to the rest of the world,5298.2,5516.9,5507.3,5485.7,5531.6,5505.4,5630.9,5661.6,5796,5920.9,6074.6,6048.4
18,Imports of goods and services,3925.7,4093.7,3988.4,3897.4,3874.2,3799,3843.1,3882.9,3967,4061.2,4164,4141
19,    Goods1,3253.6,3374.3,3245.4,3154.9,3135.8,3051.5,3090.8,3106.5,3170.1,3252.8,3331.8,3289.4
20,        Durable,2067.8,2098.5,2041.8,1982.4,2004.8,1999.5,2003.7,2007.7,2057.9,2106.2,2174.1,2126
21,        Nondurable,1185.8,1275.7,1203.6,1172.5,1130.9,1052,1087.1,1098.8,1112.2,1146.7,1157.7,1163.4
22,    Services1,672.2,719.4,743.1,742.5,738.5,747.5,752.4,776.4,796.9,808.4,832.2,851.6
23,Income payments,1009.3,1033.2,1080.9,1156.2,1247,1283.8,1355.2,1359.3,1410.8,1444.1,1428.9,1438.6
24,    Wage and salary payments,24.2,24.4,24.9,25.7,26.2,27.1,27.3,27.8,27.6,28.3,28.9,29.5
25,    Income payments on assets,985.1,1008.8,1056,1130.6,1220.8,1256.6,1327.9,1331.5,1383.2,1415.7,1400,1409.1
26,        Interest,475.1,506.1,578.7,666.2,741.5,797.5,844,844.4,872.8,882.2,885.1,879.2
27,        Dividends,276.5,266.2,260.6,289.1,293.8,288.1,281.3,283.5,305.4,315.8,295.4,301.9
28,        Reinvested earnings on foreign direct investment in the United States,233.6,236.5,216.7,175.3,185.5,171,202.5,203.6,205.1,217.8,219.6,228
29,Current taxes and transfer payments to the rest of the world2,363.2,390.1,437.9,432.1,410.4,422.6,432.6,419.4,418.2,415.6,481.7,468.8
30,    From persons,123.5,128.3,129.8,132.8,133.2,134.2,136.2,138.7,140.9,141.4,141.9,142.1
31,    From government,96.4,110.2,147.6,135.1,128.5,129.7,124.8,106.2,99.8,95.5,155,135.3
32,    From business,143.3,151.6,160.4,164.2,148.7,158.7,171.6,174.5,177.5,178.8,184.8,191.4
33,"        Balance on current account, NIPAs",-1139.6,-1065.4,-959.8,-919,-929.3,-917.6,-916.3,-900.3,-972.7,-1061.3,-1210.1,-1106.4
,Addenda:,,,,,,,,,,,,
34,"    Net lending or net borrowing (-), NIPAs",-1145.5,-1076.2,-935.2,-930.4,-939.8,-922.4,-920.8,-907.8,-980.7,-1067.9,-1217.4,-1067.3
35,"        Balance on current account, NIPAs",-1139.6,-1065.4,-959.8,-919,-929.3,-917.6,-916.3,-900.3,-972.7,-1061.3,-1210.1,-1106.4
36,        Less: Capital account transactions (net)3,5.9,10.8,-24.6,11.4,10.6,4.8,4.5,7.5,8,6.6,7.3,-39.1
