Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households
Table 2.9. Personal Income and Its Disposition by Households and by Nonprofit Institutions Serving Households
"Last Revised on: December 10, 2024"
Line,,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,
1,Personal income,15887.7,16662.8,17528.2,18363.2,19620.1,21419.5,22088.9,23402.5
2,"    Compensation of employees",9966.1,10424.4,10957.4,11446.6,11596.4,12557.0,13436.7,14190.2
3,"    Proprietors' income with inventory valuation and capital consumption adjustments",1349.2,1428.6,1495.3,1555.8,1594.0,1815.3,1873.6,1949.0
4,"    Rental income of persons with capital consumption adjustment",618.7,642.0,671.5,688.4,738.1,772.3,870.3,989.1
5,"    Personal income receipts on assets",2415.4,2611.0,2789.4,2950.0,2912.4,3180.7,3474.0,3822.9
6,"        Personal interest income",1388.0,1466.7,1554.5,1603.5,1509.0,1480.3,1634.9,1892.0
7,"        Personal dividend income",1027.4,1144.3,1234.9,1346.5,1403.5,1700.5,1839.2,1930.9
8,"    Personal current transfer receipts",2777.0,2855.7,2976.3,3147.1,4228.8,4653.7,4139.2,4268.0
9,"        Government social benefits to persons",2717.3,2807.4,2926.0,3090.8,4181.1,4561.0,4013.8,4146.5
10,"        Other current transfer receipts, from business (net)",59.7,48.3,50.3,56.3,47.7,92.7,125.4,121.6
11,"    Less: Contributions for government social insurance, domestic",1238.8,1298.9,1361.7,1424.8,1449.7,1559.5,1704.8,1816.6
12,Less: Personal current taxes,1958.8,2048.8,2074.2,2198.7,2245.3,2705.1,3244.9,2855.7
13,Equals: Disposable personal income,13928.9,14613.9,15454.0,16164.5,17374.8,18714.4,18844.0,20546.8
14,Less: Personal outlays,13182.7,13772.3,14457.4,14986.3,14715.8,16618.7,18277.9,19579.6
15,"    Personal consumption expenditures",12726.8,13290.6,13934.4,14437.5,14225.7,16113.9,17690.8,18822.8
16,"    Personal interest payments1",272.8,290.4,321.3,341.2,287.5,277.8,334.4,493.1
17,"    Personal current transfer payments",183.1,191.3,201.6,207.6,202.7,227.0,252.6,263.7
18,"        To government",101.6,104.6,111.3,114.6,109.3,122.8,131.5,135.5
19,"        To the rest of the world (net)",81.4,86.7,90.3,93.0,93.3,104.2,121.1,128.1
20,Equals: Personal saving,746.2,841.6,996.7,1178.2,2659.0,2095.7,566.1,967.2
21,"        Personal saving as a percentage of disposable personal income",5.4,5.8,6.4,7.3,15.3,11.2,3.0,4.7
22,Household income,15888.6,16661.6,17519.6,18359.6,19526.2,21372.2,22050.5,23390.3
23,"    Compensation of employees",9966.1,10424.4,10957.4,11446.6,11596.4,12557.0,13436.7,14190.2
24,"    Proprietors' income with inventory valuation and capital consumption adjustments",1349.2,1428.6,1495.3,1555.8,1594.0,1815.3,1873.6,1949.0
25,"    Rental income of households with capital consumption adjustment",609.5,633.5,662.6,679.0,728.4,762.0,859.1,976.7
26,"    Household income receipts on assets",2366.6,2555.2,2731.0,2891.7,2856.5,3118.0,3405.8,3748.9
27,"        Household interest income",1369.4,1445.7,1530.5,1578.1,1486.7,1458.4,1610.7,1864.3
28,"        Household dividend income",997.2,1109.4,1200.5,1313.6,1369.8,1659.7,1795.1,1884.6
29,"    Household current transfer receipts",2836.0,2918.9,3035.0,3211.2,4200.6,4679.3,4180.1,4342.2
30,"        Government social benefits",2693.7,2783.8,2901.4,3064.3,4060.8,4489.7,3955.9,4116.2
31,"        From business (net)",40.6,29.0,22.2,32.4,17.9,57.9,89.4,85.3
32,"        From nonprofit institutions2",101.7,106.1,111.4,114.6,121.9,131.8,134.8,140.7
33,"    Less: Contributions for government social insurance, domestic",1238.8,1298.9,1361.7,1424.8,1449.7,1559.5,1704.8,1816.6
34,Less: Household current taxes,1958.8,2048.8,2074.2,2198.7,2245.3,2705.1,3244.9,2855.7
35,Equals: Disposable household income,13929.9,14612.8,15445.4,16161.0,17280.9,18667.1,18805.6,20534.6
36,Less: Household outlays,13068.3,13665.9,14339.2,14856.7,14573.9,16550.6,18094.8,19372.6
37,"    Household consumption expenditures",12338.6,12894.2,13513.5,14019.9,13743.7,15673.1,17154.0,18268.7
38,"        Purchases from business and government",11272.5,11789.5,12357.7,12800.7,12570.4,14359.0,15779.1,16782.9
39,"        Purchases from nonprofit institutions3",1066.1,1104.8,1155.8,1219.2,1173.3,1314.1,1374.8,1485.8
40,"    Household interest payments1",272.8,290.4,321.3,341.2,287.5,277.8,334.4,493.1
41,"    Household transfer payments",457.0,481.3,504.3,495.6,542.7,599.7,606.4,610.7
42,"        To government",101.1,104.0,110.7,114.0,108.8,122.2,130.8,134.8
43,"        To the rest of the world (net)",50.7,53.1,57.1,60.2,57.9,63.2,72.4,78.2
44,"        To nonprofit institutions4",305.2,324.2,336.6,321.4,376.1,414.3,403.1,397.7
