Table 3.1. Government Current Receipts and Expenditures
Table 3.1. Government Current Receipts and Expenditures
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Current receipts",7813.8,7951.4,7839.3,7846.0,7481.1,7511.4,7617.4,7726.5,7892.2,7930.1,8024.9,8166.2
2,Current tax receipts,5652.0,5759.9,5688.4,5672.8,5339.4,5341.2,5415.3,5475.5,5570.5,5655.2,5723.6,5823.8
3,"    Personal current taxes",3254.1,3297.4,3224.9,3203.3,2834.2,2828.4,2866.0,2894.3,2965.6,3005.4,3054.2,3105.4
4,"    Taxes on production and imports",1812.4,1853.2,1868.5,1866.9,1877.4,1885.2,1896.2,1913.6,1938.0,1954.7,1975.9,2004.2
5,"    Taxes on corporate income",550.4,574.7,561.2,569.1,592.9,591.9,617.8,631.7,630.3,657.4,655.7,676.2
6,"    Taxes from the rest of the world",35.0,34.7,33.8,33.6,34.8,35.7,35.3,35.9,36.7,37.6,37.8,38.0
7,Contributions for government social insurance,1666.3,1689.0,1735.8,1751.8,1781.9,1810.5,1839.3,1858.9,1889.0,1896.1,1903.9,1924.5
8,"    From persons",1660.3,1683.2,1729.9,1745.9,1776.0,1804.5,1833.2,1852.8,1882.9,1889.9,1897.7,1918.2
9,"    From the rest of the world1",5.9,5.9,5.9,5.9,5.9,6.0,6.0,6.1,6.2,6.2,6.2,6.3
10,Income receipts on assets,262.9,241.5,176.1,150.5,137.0,139.0,143.2,159.5,160.2,164.5,163.8,162.6
11,"    Interest and miscellaneous receipts",121.3,123.1,126.3,129.4,129.8,131.7,136.5,152.5,152.4,152.5,153.4,152.2
12,"        Interest receipts2",89.3,88.6,90.6,93.8,95.7,98.5,103.6,119.6,118.9,118.4,118.9,118.1
13,"        Rents and royalties",32.0,34.5,35.7,35.5,34.1,33.2,32.8,32.9,33.6,34.1,34.5,34.0
14,"    Dividends",141.6,118.3,49.8,21.1,7.2,7.3,6.7,7.0,7.8,12.0,10.4,10.4
15,Current transfer receipts,234.4,264.6,247.5,288.5,248.1,252.3,255.6,270.7,312.9,256.2,273.9,295.0
16,"    From business (net)",102.5,127.5,110.3,117.1,111.1,111.5,118.4,115.7,169.6,118.1,134.8,152.8
17,"    From persons",129.2,131.0,132.4,133.5,134.3,135.1,136.0,136.9,137.9,139.0,140.3,141.7
18,"    From the rest of the world3",2.7,6.1,4.8,37.9,2.8,5.7,1.3,18.1,5.4,-0.9,-1.1,0.5
19,Current surplus of government enterprises4,-1.8,-3.6,-8.6,-17.5,-25.3,-31.6,-35.9,-38.2,-40.5,-41.8,-40.2,-39.7
20,"        Current expenditures",8546.8,8706.3,8847.1,9078.2,9163.7,9240.7,9387.4,9456.6,9692.1,9815.2,10010.6,10097.8
21,Consumption expenditures,3473.9,3560.0,3590.3,3641.9,3680.8,3674.3,3758.9,3781.7,3840.1,3882.1,3947.7,3996.9
22,Current transfer payments,4040.8,4097.0,4150.6,4256.0,4250.1,4289.9,4272.3,4262.8,4414.4,4475.5,4592.8,4626.4
23,"    Government social benefits",3972.7,4015.4,4032.2,4150.0,4152.9,4192.1,4179.8,4188.9,4347.5,4413.8,4472.0,4525.5
24,"        To persons",3944.5,3986.8,4002.9,4120.9,4121.6,4160.2,4147.5,4156.5,4314.6,4380.1,4437.8,4491.1
25,"        To the rest of the world5",28.2,28.6,29.3,29.1,31.3,31.9,32.4,32.4,32.9,33.7,34.3,34.4
26,"    Other current transfer payments to the rest of the world 3,5",68.1,81.6,118.3,106.0,97.2,97.8,92.5,73.8,66.9,61.8,120.7,100.9
27,Interest payments2,880.6,919.3,987.2,1068.9,1128.2,1174.0,1251.5,1312.5,1340.8,1363.2,1377.3,1380.3
28,"    To persons and business2",712.4,745.8,798.1,865.8,913.0,948.2,1018.3,1082.9,1103.6,1125.1,1137.3,1137.5
29,"    To the rest of the world",168.2,173.5,189.0,203.1,215.2,225.8,233.3,229.6,237.2,238.1,240.0,242.8
30,Subsidies4,151.5,130.0,119.1,111.5,104.5,102.5,104.7,99.6,96.8,94.4,92.8,94.2
31,"        Net government saving",-733.0,-754.9,-1007.8,-1232.2,-1682.5,-1729.3,-1770.0,-1730.1,-1799.9,-1885.1,-1985.7,-1931.6
32,Social insurance funds,-492.0,-484.0,-456.4,-474.6,-588.0,-596.9,-595.7,-605.3,-642.4,-667.9,-697.4,-719.7
33,Other,-241.0,-270.9,-551.3,-757.6,-1094.5,-1132.4,-1174.3,-1124.8,-1157.6,-1217.2,-1288.3,-1211.9
,Addenda:,,,,,,,,,,,,
34,"    Total receipts",7852.9,8095.0,7892.5,7941.7,7523.6,7555.6,7659.8,7768.4,7931.5,7969.0,8065.7,8218.6
35,"        Current receipts",7813.8,7951.4,7839.3,7846.0,7481.1,7511.4,7617.4,7726.5,7892.2,7930.1,8024.9,8166.2
36,"        Capital transfer receipts",39.2,143.6,53.2,95.7,42.4,44.3,42.4,41.9,39.3,38.8,40.8,52.3
37,"    Total expenditures",8404.1,8902.3,8985.6,9287.5,9521.9,9751.4,9866.8,9791.8,10019.0,10158.3,10387.7,10475.5
