Table 3.12. Government Social Benefits
Table 3.12. Government Social Benefits
"Last Revised on: September 27, 2024"
Line,,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,
1,"            Government social benefits",2738.2,2829.2,2948.7,3114.7,4215.1,4593.6,4042.6,4178.4
2,To persons,2717.3,2807.4,2926.0,3090.8,4181.1,4561.0,4013.8,4146.5
3,"    Federal",2024.2,2097.8,2194.9,2328.0,3365.4,3653.3,2985.5,3065.3
4,"        Benefits from social insurance funds",1614.4,1670.8,1756.3,1871.7,2450.3,2335.5,2195.3,2425.5
5,"            Social security1",896.5,926.1,972.4,1030.7,1077.9,1114.6,1211.5,1357.0
6,"            Medicare2",662.1,691.8,733.6,790.5,820.4,878.9,935.0,1009.5
7,"            Unemployment insurance",32.0,30.2,27.6,27.5,528.6,317.3,23.8,33.2
8,"                State",31.5,29.7,27.2,27.1,492.1,209.2,23.5,32.9
9,"                Railroad employees",0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
10,"                Federal employees",0.5,0.4,0.3,0.3,0.5,0.4,0.2,0.2
11,"                Emergency unemployment compensation",0.0,0.0,0.0,0.0,35.8,107.6,0.0,0.0
12,"            Railroad retirement",12.4,12.5,12.7,13.0,13.1,13.2,13.6,14.3
13,"            Pension benefit guaranty",1.7,0.8,0.7,0.7,1.1,2.0,1.3,0.9
14,"            Veterans' life insurance",1.1,1.0,1.0,0.9,0.8,0.8,0.6,0.4
15,"            Workers' compensation",3.3,3.0,3.1,3.0,3.0,3.0,3.1,3.4
16,"            Military medical insurance3",5.3,5.4,5.2,5.4,5.4,5.7,6.4,6.8
17,"        Veterans' benefits",95.6,110.3,118.6,128.8,144.0,152.1,168.0,196.4
18,"            Pension and disability",80.2,86.0,93.4,101.6,111.4,117.6,132.7,155.3
19,"            Readjustment",11.8,12.1,11.4,11.5,10.5,10.0,9.4,10.2
20,"            Other4",3.6,12.2,13.8,15.7,22.0,24.5,25.8,30.9
21,"        Supplemental Nutrition Assistance Program (SNAP)5",65.5,64.3,58.2,54.7,94.9,151.2,132.9,111.2
