Industries,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
        All industries,45200.3,46678.5,47266.6,47388.5,47885.4,47971.7,48657.5,49032.6,49705.6,50260.7,50898.5,51454.2
Private industries,40444.2,41780.7,42313.5,42389.6,42853.8,42930.7,43515.4,43857.6,44444.4,44939.6,45498.8,45981.4
+ACI-    Agriculture, forestry, fishing, and hunting+ACI-,598.6,643.3,656.2,660.7,645.9,623.1,616.2,601.6,594.3,589,592.5,612.6
        Farms,533.6,579.2,589.5,594.6,579.2,557.1,549.6,535.5,528.8,525.6,531.5,549.6
+ACI-        Forestry, fishing, and related activities+ACI-,65.1,64.2,66.7,66.1,66.8,65.9,66.6,66.1,65.5,63.4,61,63
    Mining,788.2,952.3,948.4,813.7,754.8,683.2,718.4,721.5,694.9,704.6,689,680.8
        Oil and gas extraction,581.3,732.1,716,582.3,506.1,441.8,486.1,481,455.9,465.6,450.5,443.3
+ACI-        Mining, except oil and gas+ACI-,128.3,136.5,139.6,136.2,143.2,134.7,133.3,136.4,138.4,136.5,139.8,139.3
        Support activities for mining,78.5,83.8,92.7,95.2,105.5,106.7,98.9,104.1,100.5,102.5,98.6,98.2
    Utilities,632.7,726.9,742.9,694.6,670.9,604,666.4,619.8,633,643.4,635,634.9
    Construction,2137.2,2199.9,2210.9,2230,2246.9,2294.5,2359.1,2443.1,2494.1,2509.6,2524,2553.1
    Manufacturing,6967.7,7246.2,7207.4,7225.6,7199.5,7173.4,7252.6,7218.3,7229.1,7283.1,7309.2,7309.7
        Durable goods,3331.5,3394.8,3449.4,3500.7,3506,3604.8,3612.6,3602.5,3598,3649.4,3682.7,3672.4
            Wood products,173.8,175.7,174.2,172.9,168.4,168.3,169.3,168.8,170.3,168.8,166.3,168.1
            Nonmetallic mineral products,155,158.5,158.4,160.3,160.4,162.1,162.5,162,160.2,160.6,162.6,161.5
            Primary metals,320.2,332.4,327.3,318.8,318.3,321,319.8,316.4,313.2,317.1,315,321.3
            Fabricated metal products,425.4,431.9,431.1,432.4,428.8,426.1,432.6,439,434.9,440.3,441.3,441.6
            Machinery,431.5,434.3,442.7,451.6,450.1,450.3,453.5,454,450.4,452.9,453.4,453.3
            Computer and electronic products,397.1,405.9,413.7,415.7,411.6,411.4,414,418.8,420.3,419.3,420.6,427.9
+ACI-            Electrical equipment, appliances, and components+ACI-,152.1,155.9,157.1,161.7,167.3,168.3,168,168.9,170.9,169.4,170.1,173.5
+ACI-            Motor vehicles, bodies and trailers, and parts+ACI-,689.4,694.3,716.9,725.6,751.8,786.5,799.4,770.6,801.9,811.2,779.1,784.3
            Other transportation equipment,319.4,336.3,356.4,385.7,375.1,436,420.2,428.1,398.3,430.8,493,459.1
            Furniture and related products,80.2,81.7,82.4,83.2,81.6,81.5,79.9,80.7,82,82.2,82,81.2
            Miscellaneous manufacturing,187.4,188,189.2,192.7,192.6,193.3,193.4,195.2,195.7,196.8,199.3,200.7
        Nondurable goods,3636.2,3851.4,3758,3724.9,3693.5,3568.6,3639.9,3615.8,3631.1,3633.7,3626.5,3637.3
            Food and beverage and tobacco products,1134.9,1158.1,1169.4,1167.6,1182.3,1173.1,1182.1,1181.7,1191.7,1201.2,1214,1216.2
            Textile mills and textile product mills,52.7,52.8,52.6,51.4,50.6,49.9,49.6,49.6,49.6,48.8,49.2,49.8
            Apparel and leather and allied products,18.4,19.5,19.7,21.9,22.4,23.3,24.1,25.5,26,26.5,26.5,25.8
            Paper products,205.9,206,204.3,204.3,206.9,204.5,201.4,200.6,201,201.5,204.3,204.9
            Printing and related support activities,83.9,86.6,87.8,88.8,88.1,86.8,86.6,85.8,87.2,88.2,90,89.6
            Petroleum and coal products,862.3,1028.7,923.5,884.9,803.3,712.8,776.8,737.9,730.6,702.4,664.1,664.6
            Chemical products,976.7,991.5,998.9,1003.8,1039.6,1023.3,1020.8,1033.9,1044.8,1061.5,1076.4,1087.5
            Plastics and rubber products,301.5,308.3,301.9,302.1,300.2,294.9,298.5,300.8,300.2,303.6,302,298.8
    Wholesale trade,2866.7,2915.5,2904.6,2849,2833.6,2806.9,2848.3,2873.7,2888.1,2895.9,2956.9,3007.3
    Retail trade,2651.8,2709.8,2711.3,2710.6,2755.9,2751.6,2783.1,2801.2,2800.1,2812.3,2852.7,2903.6
        Motor vehicle and parts dealers,514.2,526.6,528.6,529.7,544.1,540.9,539.9,538.5,536.8,532.2,543.8,571.3
        Food and beverage stores,325.5,332.7,337.8,343.9,343.7,341.9,344.9,346.4,346,347.8,351.2,354.5
        General merchandise stores,294.4,303.1,305,307.4,310.3,308.4,311.9,313.2,317.2,317,319.9,322.1
        Other retail,1517.7,1547.4,1539.9,1529.6,1557.9,1560.3,1586.5,1603.1,1600.1,1615.3,1637.9,1655.7
    Transportation and warehousing,1716.9,1829.7,1846.3,1793.6,1760.7,1738.5,1738.3,1765,1773.8,1802,1825.9,1850.4
        Air transportation,256.4,304.5,313.2,309.3,305.8,310.5,311.1,317.9,324.4,326.8,327.6,338.4
        Rail transportation,90.5,96.5,98.9,95.3,95.3,90,89.1,92.7,92.8,91.4,91.7,91.5
        Water transportation,51.2,65.3,77.2,70.6,68.2,71.4,75,71.2,70.4,74.8,82.1,78
        Truck transportation,567.5,601,583.6,559.4,546,526,519.6,527.5,518.6,531.2,526.2,535.7
        Transit and ground passenger transportation,106.4,113.2,123.7,133.8,137.5,141.8,148.8,154.5,158.5,169.7,176.1,178.5
        Pipeline transportation,65.8,69.1,72.6,70.9,71.4,70.7,70.1,72.6,74.2,72.4,74.3,74.6
        Other transportation and support activities,407.3,402,392.5,374.8,358.8,346.4,346,345.5,345.2,349,356.8,355
        Warehousing and storage,171.8,178.1,184.6,179.6,177.6,181.8,178.6,183.2,189.8,186.8,191.1,198.8
    Information,2413.3,2455.5,2462.1,2464.7,2485.3,2493.9,2533.9,2556.3,2607.7,2642.2,2710.1,2735.3
+ACI-        Publishing industries, except internet (includes software)+ACI-,538,553.5,557.4,564.3,576.1,581.4,602.4,607.4,628.9,645.3,667.5,668
        Motion picture and sound recording industries,185.7,201.6,197.5,197.2,204,202.5,203.6,198.1,199.7,200.6,210.2,214.5
        Broadcasting and telecommunications,966.8,960.8,956.2,949.5,943.4,936.6,935.4,933.3,932.1,926.6,934.9,942.3
+ACI-        Data processing, internet publishing, and other information services+ACI-,722.8,739.6,751.1,753.7,761.8,773.4,792.5,817.5,847,869.7,897.6,910.5
+ACI-    Finance, insurance, real estate, rental, and leasing+ACI-,8401,8507.3,8726.2,8870.2,9127.4,9305.9,9451.7,9462.6,9701.8,9819.5,9935.2,10035.7
        Finance and insurance,3393.6,3436.7,3547,3601.8,3708.6,3793.4,3842.8,3792.6,3925.9,3977.2,4053.6,4075.3
+ACI-            Federal Reserve banks, credit intermediation, and related activities+ACI-,1196.2,1220.5,1283.6,1319.4,1368.7,1384.6,1366.7,1367,1392.2,1382.9,1398.3,1427.3
