scenario,confidence,sector,direct_shock,total_impact,multiplier_effect,price_effect,gdp_contribution
75-year,mean,AGR,-2.45,-7.37,-4.92,-5.17,-0.97
75-year,mean,MINING,-0.3,-4.25,-3.95,-5.48,-2.02
75-year,mean,UTIL_CONST,-22.71,-40.0,-17.29,-4.75,0.18
75-year,mean,MANUF,-36.83,-103.29,-66.46,-4.96,-7.7
75-year,mean,TRADE_TRANSP,-49.44,-23.42,26.02,-4.6,0.0
75-year,mean,INFO,-22.11,-39.83,-17.72,-4.45,-0.21
75-year,mean,FIRE,-86.81,-140.75,-53.94,-4.49,1.82
75-year,mean,PROF_OTHER,-76.89,-117.84,-40.95,-4.38,0.78
75-year,mean,EDUC_ENT,-58.96,-89.99,-31.03,-4.5,5.31
75-year,mean,G,-56.52,-102.56,-46.04,-3.92,2.81
75-year,p5,AGR,-1.72,-5.58,-3.86,-5.18,-0.87
75-year,p5,MINING,-0.18,-3.42,-3.24,-5.39,-1.68
75-year,p5,UTIL_CONST,-17.9,-32.27,-14.37,-4.81,-0.28
75-year,p5,MANUF,-30.33,-84.19,-53.86,-4.96,-5.95
75-year,p5,TRADE_TRANSP,-40.61,-18.6,22.01,-4.69,0.0
75-year,p5,INFO,-17.09,-31.26,-14.17,-4.59,-0.43
75-year,p5,FIRE,-69.29,-110.87,-41.58,-4.6,2.35
75-year,p5,PROF_OTHER,-60.7,-93.84,-33.14,-4.52,0.09
75-year,p5,EDUC_ENT,-47.67,-71.03,-23.36,-4.6,5.32
75-year,p5,G,-46.92,-86.75,-39.83,-4.1,1.46
75-year,p95,AGR,-3.17,-9.16,-5.99,-5.16,-1.08
75-year,p95,MINING,-0.42,-5.09,-4.67,-5.56,-2.36
75-year,p95,UTIL_CONST,-27.52,-47.84,-20.32,-4.69,0.58
75-year,p95,MANUF,-43.43,-122.67,-79.24,-4.96,-9.48
75-year,p95,TRADE_TRANSP,-58.74,-28.38,30.36,-4.51,0.0
75-year,p95,INFO,-27.36,-48.74,-21.38,-4.29,0.05
75-year,p95,FIRE,-105.08,-171.8,-66.72,-4.37,1.33
75-year,p95,PROF_OTHER,-93.65,-142.65,-49.0,-4.22,1.54
75-year,p95,EDUC_ENT,-70.73,-109.67,-38.94,-4.39,5.35
75-year,p95,G,-66.11,-118.56,-52.45,-3.74,4.07
gannon-year,mean,AGR,-4.36,-11.87,-7.51,-5.08,-1.15
gannon-year,mean,MINING,-0.41,-5.21,-4.8,-5.73,-2.43
gannon-year,mean,UTIL_CONST,-28.76,-51.11,-22.35,-4.8,-0.03
gannon-year,mean,MANUF,-58.47,-149.92,-91.45,-4.88,-6.15
gannon-year,mean,TRADE_TRANSP,-66.05,-30.34,35.71,-4.58,0.0
gannon-year,mean,INFO,-29.98,-51.62,-21.64,-4.37,1.08
