scenario,variable,mean,p5,p95,ci_width,uncertainty_pct
e_75-year-hazard A/ph,GDP_AGR,2.71,1.95,3.45,1.5,55.21
e_75-year-hazard A/ph,GDP_MINING,0.47,0.29,0.65,0.35,75.09
e_75-year-hazard A/ph,GDP_UTIL_CONST,35.95,30.01,41.66,11.65,32.4
e_75-year-hazard A/ph,GDP_MANUF,70.9,59.02,83.45,24.42,34.45
e_75-year-hazard A/ph,GDP_TRADE_TRANSP,81.04,68.55,93.49,24.94,30.77
e_75-year-hazard A/ph,GDP_INFO,39.52,31.75,47.67,15.92,40.28
e_75-year-hazard A/ph,GDP_FIRE,144.09,119.43,168.24,48.81,33.87
e_75-year-hazard A/ph,GDP_PROF_OTHER,126.31,104.08,148.92,44.84,35.5
e_75-year-hazard A/ph,GDP_EDUC_ENT,96.28,80.27,112.66,32.39,33.64
e_75-year-hazard A/ph,GDP_G,81.11,69.33,93.6,24.26,29.91
e_75-year-hazard A/ph,EST_TOTAL,86796.26,73596.56,99949.92,26353.36,30.36
e_75-year-hazard A/ph,POP_AFFECTED,3501183.08,2952259.83,4044856.37,1092596.53,31.21
e_gannon-year-hazard A/ph,GDP_AGR,3.77,2.76,4.76,2.0,52.93
e_gannon-year-hazard A/ph,GDP_MINING,0.35,0.17,0.53,0.36,102.37
e_gannon-year-hazard A/ph,GDP_UTIL_CONST,26.67,21.73,31.37,9.65,36.18
e_gannon-year-hazard A/ph,GDP_MANUF,55.58,45.19,65.72,20.53,36.94
e_gannon-year-hazard A/ph,GDP_TRADE_TRANSP,61.55,50.21,72.39,22.18,36.03
e_gannon-year-hazard A/ph,GDP_INFO,28.18,21.11,35.53,14.42,51.16
e_gannon-year-hazard A/ph,GDP_FIRE,109.36,84.79,134.74,49.95,45.67
e_gannon-year-hazard A/ph,GDP_PROF_OTHER,90.28,71.77,109.99,38.23,42.34
e_gannon-year-hazard A/ph,GDP_EDUC_ENT,67.76,54.71,80.88,26.18,38.63
e_gannon-year-hazard A/ph,GDP_G,56.66,46.32,66.5,20.17,35.61
e_gannon-year-hazard A/ph,EST_TOTAL,64825.89,53089.77,76639.69,23549.92,36.33
e_gannon-year-hazard A/ph,POP_AFFECTED,2691724.12,2207977.03,3171133.12,963156.09,35.78
e_100-year-hazard A/ph,GDP_AGR,3.17,2.34,3.96,1.62,51.05
e_100-year-hazard A/ph,GDP_MINING,0.55,0.35,0.76,0.41,73.93
e_100-year-hazard A/ph,GDP_UTIL_CONST,41.86,35.7,47.84,12.14,28.99
e_100-year-hazard A/ph,GDP_MANUF,82.39,69.9,95.3,25.4,30.83
e_100-year-hazard A/ph,GDP_TRADE_TRANSP,94.66,81.48,107.84,26.36,27.85
e_100-year-hazard A/ph,GDP_INFO,46.3,37.96,54.97,17.01,36.74
e_100-year-hazard A/ph,GDP_FIRE,168.33,141.9,194.43,52.54,31.21
e_100-year-hazard A/ph,GDP_PROF_OTHER,147.93,124.58,172.03,47.45,32.08
e_100-year-hazard A/ph,GDP_EDUC_ENT,112.41,95.22,129.76,34.54,30.73
e_100-year-hazard A/ph,GDP_G,94.06,81.4,107.79,26.4,28.06
e_100-year-hazard A/ph,EST_TOTAL,101295.17,87360.71,115574.68,28213.97,27.85
e_100-year-hazard A/ph,POP_AFFECTED,4079524.39,3516774.17,4645726.91,1128952.74,27.67
e_50-year-hazard A/ph,GDP_AGR,2.14,1.45,2.78,1.33,62.18
e_50-year-hazard A/ph,GDP_MINING,0.37,0.23,0.51,0.28,75.22
e_50-year-hazard A/ph,GDP_UTIL_CONST,28.3,22.71,33.74,11.02,38.95
e_50-year-hazard A/ph,GDP_MANUF,55.97,44.76,67.62,22.86,40.84
e_50-year-hazard A/ph,GDP_TRADE_TRANSP,63.55,51.95,75.08,23.13,36.4
e_50-year-hazard A/ph,GDP_INFO,30.84,23.6,37.99,14.39,46.67
e_50-year-hazard A/ph,GDP_FIRE,113.01,90.07,135.12,45.04,39.86
e_50-year-hazard A/ph,GDP_PROF_OTHER,98.55,78.2,119.03,40.83,41.43
e_50-year-hazard A/ph,GDP_EDUC_ENT,75.5,60.91,90.15,29.24,38.73
e_50-year-hazard A/ph,GDP_G,64.65,54.23,75.32,21.09,32.63
e_50-year-hazard A/ph,EST_TOTAL,68202.37,56235.84,80179.58,23943.74,35.11
e_50-year-hazard A/ph,POP_AFFECTED,2757012.19,2255431.32,3259480.98,1004049.67,36.42
e_175-year-hazard A/ph,GDP_AGR,4.19,3.29,5.08,1.79,42.83
e_175-year-hazard A/ph,GDP_MINING,0.76,0.5,1.04,0.54,70.72
e_175-year-hazard A/ph,GDP_UTIL_CONST,54.56,47.89,60.87,12.98,23.78
e_175-year-hazard A/ph,GDP_MANUF,106.76,93.44,120.25,26.81,25.11
e_175-year-hazard A/ph,GDP_TRADE_TRANSP,124.08,109.84,138.45,28.6,23.05
e_175-year-hazard A/ph,GDP_INFO,60.96,51.61,70.91,19.31,31.67
e_175-year-hazard A/ph,GDP_FIRE,220.69,191.61,250.33,58.72,26.61
e_175-year-hazard A/ph,GDP_PROF_OTHER,194.83,168.42,221.53,53.1,27.26
e_175-year-hazard A/ph,GDP_EDUC_ENT,147.08,128.41,165.94,37.53,25.52
e_175-year-hazard A/ph,GDP_G,122.15,107.27,137.9,30.63,25.08
e_175-year-hazard A/ph,EST_TOTAL,132580.24,117113.66,148847.23,31733.58,23.94
e_175-year-hazard A/ph,POP_AFFECTED,5322940.89,4712333.38,5946584.96,1234251.58,23.19
e_125-year-hazard A/ph,GDP_AGR,3.55,2.71,4.4,1.69,47.48
e_125-year-hazard A/ph,GDP_MINING,0.63,0.4,0.86,0.46,72.8
e_125-year-hazard A/ph,GDP_UTIL_CONST,46.74,40.46,52.79,12.34,26.39
e_125-year-hazard A/ph,GDP_MANUF,91.77,78.89,104.77,25.88,28.2
e_125-year-hazard A/ph,GDP_TRADE_TRANSP,105.91,92.27,119.57,27.3,25.78
e_125-year-hazard A/ph,GDP_INFO,51.91,43.19,61.04,17.85,34.38
e_125-year-hazard A/ph,GDP_FIRE,188.36,161.33,216.01,54.69,29.03
e_125-year-hazard A/ph,GDP_PROF_OTHER,165.85,141.67,190.84,49.17,29.65
e_125-year-hazard A/ph,GDP_EDUC_ENT,125.7,107.85,143.55,35.7,28.4
e_125-year-hazard A/ph,GDP_G,104.77,91.46,119.47,28.0,26.73
e_125-year-hazard A/ph,EST_TOTAL,113261.27,98743.62,128141.63,29398.0,25.96
e_125-year-hazard A/ph,POP_AFFECTED,4555618.42,3979627.35,5133564.24,1153936.89,25.33
e_200-year-hazard A/ph,GDP_AGR,4.46,3.53,5.38,1.85,41.5
e_200-year-hazard A/ph,GDP_MINING,0.82,0.54,1.12,0.58,70.39
e_200-year-hazard A/ph,GDP_UTIL_CONST,57.81,51.12,64.28,13.16,22.77
e_200-year-hazard A/ph,GDP_MANUF,112.99,99.48,126.73,27.25,24.12
e_200-year-hazard A/ph,GDP_TRADE_TRANSP,131.65,117.32,146.31,28.99,22.02
e_200-year-hazard A/ph,GDP_INFO,64.74,55.16,74.65,19.48,30.1
e_200-year-hazard A/ph,GDP_FIRE,234.14,204.09,265.1,61.01,26.06
e_200-year-hazard A/ph,GDP_PROF_OTHER,206.89,179.79,234.43,54.63,26.41
e_200-year-hazard A/ph,GDP_EDUC_ENT,155.95,136.58,175.58,39.0,25.01
e_200-year-hazard A/ph,GDP_G,129.43,113.9,145.61,31.71,24.5
e_200-year-hazard A/ph,EST_TOTAL,140622.96,124791.79,157321.67,32529.87,23.13
e_200-year-hazard A/ph,POP_AFFECTED,5642399.49,5023843.18,6291993.25,1268150.07,22.48
e_150-year-hazard A/ph,GDP_AGR,3.89,3.01,4.77,1.76,45.11
e_150-year-hazard A/ph,GDP_MINING,0.7,0.45,0.95,0.5,71.67
e_150-year-hazard A/ph,GDP_UTIL_CONST,50.93,44.46,57.06,12.61,24.75
e_150-year-hazard A/ph,GDP_MANUF,99.81,86.54,112.98,26.44,26.49
e_150-year-hazard A/ph,GDP_TRADE_TRANSP,115.63,101.63,129.69,28.06,24.27
e_150-year-hazard A/ph,GDP_INFO,56.76,47.72,66.41,18.69,32.94
e_150-year-hazard A/ph,GDP_FIRE,205.65,177.32,234.11,56.79,27.62
e_150-year-hazard A/ph,GDP_PROF_OTHER,181.35,155.79,207.37,51.59,28.45
e_150-year-hazard A/ph,GDP_EDUC_ENT,137.15,118.77,155.62,36.85,26.87
e_150-year-hazard A/ph,GDP_G,114.07,99.84,129.37,29.53,25.89
e_150-year-hazard A/ph,EST_TOTAL,123598.24,108469.86,139111.06,30641.2,24.79
e_150-year-hazard A/ph,POP_AFFECTED,4966496.74,4368391.7,5567065.32,1198673.62,24.14
