scenario,confidence,sector,direct_shock,total_impact,multiplier_effect
75-year,mean,AGR,-2.45,-6.367546305450462,-3.917546305450462
75-year,mean,MINING,-0.3,-4.104087905633727,-3.804087905633727
75-year,mean,UTIL_CONST,-22.71,-39.42729950807693,-16.717299508076927
75-year,mean,MANUF,-36.83,-87.97010400485883,-51.14010400485883
75-year,mean,TRADE_TRANSP,-49.44,-94.02434555487301,-44.58434555487301
75-year,mean,INFO,-22.11,-38.10889263204056,-15.998892632040558
75-year,mean,FIRE,-86.81,-140.77389283466175,-53.96389283466175
75-year,mean,PROF_OTHER,-76.89,-112.6738925594959,-35.7838925594959
75-year,mean,EDUC_ENT,-58.96,-94.7590018779477,-35.799001877947696
75-year,mean,G,-56.52,-84.96264861988595,-28.44264861988595
75-year,p5,AGR,-1.72,-4.771344668091096,-3.0513446680910965
75-year,p5,MINING,-0.18,-3.216970545409263,-3.036970545409263
75-year,p5,UTIL_CONST,-17.9,-31.332170081366222,-13.432170081366223
75-year,p5,MANUF,-30.33,-71.2504574808605,-40.920457480860506
75-year,p5,TRADE_TRANSP,-40.61,-76.23646543225098,-35.62646543225098
75-year,p5,INFO,-17.09,-29.764939006037096,-12.674939006037096
75-year,p5,FIRE,-69.29,-112.24921377177766,-42.959213771777655
75-year,p5,PROF_OTHER,-60.7,-89.19026177636151,-28.490261776361507
75-year,p5,EDUC_ENT,-47.67,-76.24418212242215,-28.574182122422144
75-year,p5,G,-46.92,-69.62197786928024,-22.701977869280242
75-year,p95,AGR,-3.17,-7.961320302506394,-4.791320302506394
75-year,p95,MINING,-0.42,-5.012133205261751,-4.592133205261751
75-year,p95,UTIL_CONST,-27.52,-47.60125591447424,-20.081255914474237
75-year,p95,MANUF,-43.43,-104.99206323520657,-61.56206323520657
75-year,p95,TRADE_TRANSP,-58.74,-112.59421214786867,-53.85421214786867
75-year,p95,INFO,-27.36,-46.80375963266232,-19.44375963266232
75-year,p95,FIRE,-105.08,-170.45064789545995,-65.37064789545995
75-year,p95,PROF_OTHER,-93.65,-136.97781038729266,-43.32781038729266
75-year,p95,EDUC_ENT,-70.73,-113.99275599240218,-43.26275599240218
75-year,p95,G,-66.11,-100.46001976754711,-34.35001976754711
gannon-year,mean,AGR,-4.36,-10.44598211766976,-6.085982117669759
gannon-year,mean,MINING,-0.41,-5.676401329956039,-5.266401329956039
gannon-year,mean,UTIL_CONST,-28.76,-52.8597912290876,-24.099791229087597
gannon-year,mean,MANUF,-58.47,-134.05712782153464,-75.58712782153464
gannon-year,mean,TRADE_TRANSP,-66.05,-125.3939033620131,-59.34390336201311
gannon-year,mean,INFO,-29.98,-51.2112637431104,-21.2312637431104
gannon-year,mean,FIRE,-115.96,-186.77785134359584,-70.81785134359585
gannon-year,mean,PROF_OTHER,-95.63,-143.14687665783157,-47.516876657831574
gannon-year,mean,EDUC_ENT,-72.06,-120.0921031762601,-48.032103176260094
gannon-year,mean,G,-61.42,-100.34809307703907,-38.928093077039065
gannon-year,p5,AGR,-3.42,-8.380167294234264,-4.960167294234264
gannon-year,p5,MINING,-0.23,-4.559370585620763,-4.3293705856207625
gannon-year,p5,UTIL_CONST,-24.23,-44.13585165049554,-19.90585165049554
gannon-year,p5,MANUF,-48.99,-111.30021634414608,-62.31021634414608
gannon-year,p5,TRADE_TRANSP,-55.69,-104.45037055775505,-48.76037055775505
gannon-year,p5,INFO,-23.41,-40.67448387118473,-17.264483871184726
gannon-year,p5,FIRE,-93.7,-151.5372921713871,-57.83729217138709
gannon-year,p5,PROF_OTHER,-78.54,-117.46161072605014,-38.92161072605013
gannon-year,p5,EDUC_ENT,-60.13,-99.53882452272775,-39.40882452272775
gannon-year,p5,G,-51.68,-83.6955399073098,-32.015539907309794
gannon-year,p95,AGR,-5.32,-12.55487659019853,-7.23487659019853
gannon-year,p95,MINING,-0.61,-6.824234163342813,-6.214234163342812
gannon-year,p95,UTIL_CONST,-33.23,-61.59448230419081,-28.364482304190815
gannon-year,p95,MANUF,-68.29,-157.42651921873465,-89.13651921873465
gannon-year,p95,TRADE_TRANSP,-76.36,-146.29355805018173,-69.93355805018173
gannon-year,p95,INFO,-36.4,-61.578608121100515,-25.178608121100517
gannon-year,p95,FIRE,-138.12,-221.87678887740637,-83.75678887740636
gannon-year,p95,PROF_OTHER,-112.65,-168.76310598158295,-56.11310598158295
gannon-year,p95,EDUC_ENT,-83.72,-140.38990536894445,-56.669905368944455
gannon-year,p95,G,-70.97,-116.84791507973065,-45.877915079730656
100-year,mean,AGR,-3.28,-8.479178701096886,-5.199178701096887
100-year,mean,MINING,-0.38,-5.42172849806451,-5.0417284980645105
100-year,mean,UTIL_CONST,-29.88,-52.01876576669877,-22.13876576669877
100-year,mean,MANUF,-48.59,-116.30232146067773,-67.71232146067773
100-year,mean,TRADE_TRANSP,-65.38,-124.546141861445,-59.166141861445
100-year,mean,INFO,-29.78,-51.082622006434306,-21.302622006434305
100-year,mean,FIRE,-115.42,-187.11240795243845,-71.69240795243844
100-year,mean,PROF_OTHER,-102.28,-149.81897967039671,-47.538979670396714
100-year,mean,EDUC_ENT,-78.11,-125.6263746169782,-47.5163746169782
100-year,mean,G,-72.19,-109.92454123651252,-37.73454123651253
100-year,p5,AGR,-2.47,-6.7074805309731085,-4.237480530973109
100-year,p5,MINING,-0.24,-4.427189647449324,-4.1871896474493235
100-year,p5,UTIL_CONST,-24.65,-43.13503337865575,-18.48503337865575
100-year,p5,MANUF,-41.4,-97.75210184976017,-56.35210184976017
100-year,p5,TRADE_TRANSP,-55.49,-104.64758063592855,-49.15758063592855
100-year,p5,INFO,-24.08,-41.65803145869581,-17.57803145869581
100-year,p5,FIRE,-95.67,-155.04260235194198,-59.37260235194198
100-year,p5,PROF_OTHER,-84.26,-123.6479349098019,-39.3879349098019
100-year,p5,EDUC_ENT,-65.38,-104.82231868292178,-39.44231868292178
100-year,p5,G,-61.37,-92.70601840405249,-31.33601840405249
100-year,p95,AGR,-4.08,-10.247032429306383,-6.167032429306383
100-year,p95,MINING,-0.53,-6.442362556743008,-5.912362556743008
100-year,p95,UTIL_CONST,-35.1,-60.96118808677737,-25.861188086777368
100-year,p95,MANUF,-55.95,-135.2187220861052,-79.2687220861052
100-year,p95,TRADE_TRANSP,-75.46,-144.79515320451094,-69.33515320451095
100-year,p95,INFO,-35.74,-60.85605488646626,-25.11605488646626
100-year,p95,FIRE,-135.05,-219.1984601131913,-84.14846011319128
100-year,p95,PROF_OTHER,-120.85,-176.69116450945972,-55.84116450945973
100-year,p95,EDUC_ENT,-90.83,-146.54059167984647,-55.71059167984647
100-year,p95,G,-82.68,-126.9394198529256,-44.25941985292559
50-year,mean,AGR,-1.51,-3.9859346663877573,-2.475934666387757
50-year,mean,MINING,-0.2,-2.6179690131154745,-2.4179690131154743
50-year,mean,UTIL_CONST,-14.53,-25.172093616989052,-10.642093616989053
50-year,mean,MANUF,-23.62,-56.16281845734564,-32.54281845734563
50-year,mean,TRADE_TRANSP,-31.5,-59.793996845919516,-28.293996845919516
50-year,mean,INFO,-13.72,-23.820171867248202,-10.100171867248202
50-year,mean,FIRE,-55.05,-89.24961527965513,-34.199615279655134
50-year,mean,PROF_OTHER,-48.55,-71.21888837333185,-22.668888373331853
50-year,mean,EDUC_ENT,-37.46,-60.17298704176577,-22.71298704176577
50-year,mean,G,-38.5,-56.551455445010326,-18.051455445010326
50-year,p5,AGR,-0.95,-2.758458339980554,-1.808458339980554
50-year,p5,MINING,-0.12,-1.9448709514079534,-1.8248709514079535
50-year,p5,UTIL_CONST,-10.77,-18.872291640680405,-8.102291640680406
50-year,p5,MANUF,-18.61,-43.26711859042586,-24.65711859042586
50-year,p5,TRADE_TRANSP,-24.67,-46.009858871193465,-21.339858871193464
50-year,p5,INFO,-9.79,-17.30429032584952,-7.514290325849522
50-year,p5,FIRE,-41.53,-67.19159481609617,-25.66159481609617
50-year,p5,PROF_OTHER,-35.93,-52.93444284587732,-17.00444284587732
50-year,p5,EDUC_ENT,-28.65,-45.75579545812877,-17.105795458128775
50-year,p5,G,-30.4,-43.99527250305648,-13.595272503056485
50-year,p95,AGR,-2.06,-5.214699812126111,-3.1546998121261107
50-year,p95,MINING,-0.28,-3.320140506430984,-3.0401405064309843
50-year,p95,UTIL_CONST,-18.43,-31.714026052415285,-13.284026052415285
50-year,p95,MANUF,-28.71,-69.39454048217053,-40.684540482170526
50-year,p95,TRADE_TRANSP,-38.85,-74.52709619084567,-35.67709619084567
50-year,p95,INFO,-17.83,-30.662843690322973,-12.832843690322974
50-year,p95,FIRE,-69.82,-113.15303400895333,-43.333034008953334
50-year,p95,PROF_OTHER,-61.92,-90.59041583269783,-28.670415832697827
50-year,p95,EDUC_ENT,-46.8,-75.44930545807838,-28.649305458078388
50-year,p95,G,-46.52,-69.24527822511604,-22.725278225116035
175-year,mean,AGR,-5.25,-13.533104244554517,-8.283104244554517
175-year,mean,MINING,-0.61,-8.662052755684151,-8.052052755684151
175-year,mean,UTIL_CONST,-46.83,-82.11477528690517,-35.28477528690517
175-year,mean,MANUF,-76.91,-184.7376139912928,-107.8276139912928
175-year,mean,TRADE_TRANSP,-103.73,-198.41169047613317,-94.68169047613317
175-year,mean,INFO,-48.96,-83.26062334863117,-34.30062334863117
175-year,mean,FIRE,-185.53,-300.5161476298533,-114.98614762985332
175-year,mean,PROF_OTHER,-164.35,-240.5804995240493,-76.23049952404929
175-year,mean,EDUC_ENT,-124.62,-200.6911053347715,-76.07110533477149
